Название,Тип,Родительская папка,Размер,Содержит папки,Содержит файлы
Seminar_8,директория,C:\Users\Gregory\Desktop\GB\Python\Seminars,18118,"[{'Название': 'homework_8', 'Тип': 'директория', 'Размер': 12167}, {'Название': '__pycache__', 'Тип': 'директория', 'Размер': 2310}]","[{'Название': 'main.py', 'Тип': 'файл', 'Размер': 189}, {'Название': 't3_result.json', 'Тип': 'файл', 'Размер': 249}, {'Название': 'task_1.py', 'Тип': 'файл', 'Размер': 965}, {'Название': 'task_2.py', 'Тип': 'файл', 'Размер': 2238}]"
homework_8,директория,C:\Users\Gregory\Desktop\GB\Python\Seminars\Seminar_8,12167,"[{'Название': 'test', 'Тип': 'директория', 'Размер': 0}]","[{'Название': 'directory_traversal.csv', 'Тип': 'файл', 'Размер': 1932}, {'Название': 'directory_traversal.json', 'Тип': 'файл', 'Размер': 3760}, {'Название': 'hw_task.py', 'Тип': 'файл', 'Размер': 3194}, {'Название': 'main.py', 'Тип': 'файл', 'Размер': 78}, {'Название': 'task_1.py', 'Тип': 'файл', 'Размер': 965}, {'Название': 'task_2.py', 'Тип': 'файл', 'Размер': 2238}, {'Название': '__init__.py', 'Тип': 'файл', 'Размер': 0}]"
test,директория,C:\Users\Gregory\Desktop\GB\Python\Seminars\Seminar_8\homework_8,0,[],"[{'Название': 'test', 'Тип': 'файл', 'Размер': 0}]"
__pycache__,директория,C:\Users\Gregory\Desktop\GB\Python\Seminars\Seminar_8,2310,[],"[{'Название': 'task_1.cpython-310.pyc', 'Тип': 'файл', 'Размер': 666}, {'Название': 'task_2.cpython-310.pyc', 'Тип': 'файл', 'Размер': 1644}]"
